Station,Section,Url,Page Range,Text Identifier,Status
63,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,361-363,Station 63,exists
64,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,363-365,Station 64,exists
65,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,365-366,Station 65,exists
66,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,366,Station 66,exists
67,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,366-367,Station 67,exists
68,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,367-368,Station 68,exists
69,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,368-369,Station 69,exists
70,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,369-373,Station 70,exists
71,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,373-374,Station 71,exists
72,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,374-375,Station 72,exists
73,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,375-379,Station 73,exists
74,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,379,Station 74,exists
75,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,380-389,Station 75,exists
76,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,389-391,Station 76,exists
77,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,391,Station 77,exists
78,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,394-400,Station 78,exists
79,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,401,Station 79,exists
80,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,402,Station 80,exists
81,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,402-403,Station 81,exists
82,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,403,Station 82,exists
83,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,404,Station 83,exists
84,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,404-405,Station 84,exists
85,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,405-408,Station 85,exists
86,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,408-409,Station 86,exists
87,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,409-410,Station 87,exists
88,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,410-411,Station 88,exists
89,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,411-412,Station 89,exists
90,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,412-413,Station 90,exists
91,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,413-414,Station 91,exists
92,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,414-415,Station 92,exists
93,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,415-416,Station 93 to 93C,exists
93A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,415-416,Station 93 to 93C,exists
